Name,Smin,Smax,Smed,SSD,Nobs,B-V,logRhk,Age,I10,C,SimbadName,_RA,_DE
"HD 217014",0.1474,0.1543,0.1521,0.00111,90,0.653,-5.05,6.65,1,0,"HD 217014 ",344.36659,20.76883
"HD 225261",0.1693,0.1765,0.1727,0.00216,11,0.682,-4.936,4.43,1,0,"HD 225261 ",1.23467,23.26963
"GL26",0.6164,1.114,0.8655,0.12076,20,1.348,-4.915,4.1,1,0,"GL26      ",9.74602,30.61622
"HD 166",0.3976,0.4551,0.4201,0.01317,49,0.726,-4.381,0.31,1,0,"HD 166    ",1.65327,29.0215
"HD 219953",0.1706,0.1758,0.1729,0.00162,8,0.73,-4.954,4.73,1,0,"HD 219953 ",349.99281,28.86777
"HD 221851",0.267,0.3399,0.2954,0.01472,40,0.824,-4.662,1.65,1,0,"HD 221851 ",353.85671,31.16131
"HD 45184",0.1564,0.1774,0.166,0.0042,361,0.613,-4.946,4.6,1,0,"HD 45184  ",96.18283,-28.78012
"HD 45588",0.1475,0.1577,0.1528,0.00243,19,0.535,-5.007,5.74,1,0,"HD 45588  ",96.79735,-25.8565
"HD 37962",0.1867,0.2036,0.1931,0.00465,15,0.613,-4.809,2.78,1,0,"HD 37962  ",85.21652,-31.35111
"HD 35974",0.1378,0.1458,0.1414,0.00245,16,0.58,-5.115,8.29,1,0,"HD 35974  ",81.77773,-31.56617
"HD 37213",0.1428,0.1455,0.1447,8.7E-4,8,0.687,-5.11,8.16,1,0,"HD 37213  ",83.92118,-27.62083
"HD 48938",0.153,0.1569,0.1557,0.00104,19,0.526,-4.984,5.27,1,0,"HD 48938  ",101.21647,-27.34167
"HD 43745",0.1393,0.1449,0.1432,0.00163,15,0.556,-5.092,7.68,1,0,"HD 43745  ",94.26499,-22.71523
"HD 42581",1.291,1.729,1.542,0.09687,39,1.289,-4.571,1.19,1,0,"HD 42581  ",92.64423,-21.86463
"HD 38392",0.4131,0.4904,0.4629,0.02124,25,0.997,-4.638,1.52,1,0,"HD 38392  ",86.11057,-22.42184
"HIP23512",0.6074,0.9232,0.7372,0.09486,21,1.41,-5.076,7.29,1,0,"HIP23512  ",75.83369,-17.37353
"HIP22762",0.7192,1.53,0.8122,0.12408,66,1.339,-4.928,4.31,1,0,"HIP22762  ",73.45825,-17.77342
"HD 34721",0.142,0.1479,0.1464,8.1E-4,86,0.558,-5.065,7.0,1,0,"HD 34721  ",79.7103,-18.13005
"HD 40397",0.1448,0.1511,0.1495,9.4E-4,82,0.668,-5.072,7.17,1,0,"HD 40397  ",89.58973,-4.65067
"HD 38858",0.1611,0.1732,0.1666,0.0021,121,0.609,-4.941,4.51,1,0,"HD 38858  ",87.14558,-4.09464
"HD 56274",0.1622,0.1728,0.1653,0.00331,12,0.564,-4.931,4.36,1,0,"HD 56274  ",108.96165,-13.04948
"HD 50639",0.1625,0.1751,0.1696,0.00254,17,0.539,-4.898,3.85,1,0,"HD 50639  ",103.43678,-9.51546
"HD 52919",0.3929,0.5504,0.4431,0.05126,35,1.064,-4.754,2.28,1,0,"HD 52919  ",105.67882,-6.79923
"HD 60491",0.5219,0.5898,0.5418,0.01528,28,0.836,-4.36,0.22,1,0,"HD 60491  ",113.60903,-6.89668
"HD 61606",0.483,0.5371,0.512,0.01154,35,0.917,-4.484,0.8,1,0,"HD 61606  ",114.9972,-3.59751
"HIP36338",0.5525,0.762,0.5837,0.06311,24,1.382,-5.137,8.89,1,0,"HIP36338  ",112.18933,-3.29814
"HD 71479",0.1449,0.1511,0.1484,0.00177,14,0.619,-5.067,7.06,1,0,"HD 71479  ",126.89636,-5.14864
"HD 72659",0.1441,0.1541,0.1505,0.00158,51,0.593,-5.043,6.5,1,0,"HD 72659  ",128.51329,-1.56822
"HD 66428",0.1432,0.1485,0.1459,8.6E-4,50,0.697,-5.103,7.95,1,0,"HD 66428  ",120.86945,-1.16271
"HD 65277",0.2093,0.271,0.2385,0.01563,60,0.969,-4.919,4.16,1,1,"HD 65277  ",119.49077,-0.81441
"GL2066",0.7517,1.134,0.8552,0.08843,39,1.335,-4.9,3.87,1,0,"GL2066    ",124.03326,1.30257
"HD 52265",0.1398,0.1476,0.1439,0.00144,56,0.57,-5.09,7.62,1,0,"HD 52265  ",105.07515,-5.36716
"GL250B",1.08,1.708,1.308,0.14243,36,1.354,-4.745,2.2,1,0,"GL250B    ",103.07517,-5.19001
"HD 50281",0.5142,0.6339,0.5557,0.03447,26,1.048,-4.629,1.47,1,0,"HD 50281  ",103.07521,-5.17371
"HD 53665",0.1466,0.1523,0.1499,0.00165,17,0.518,-5.025,6.12,1,0,"HD 53665  ",106.46988,-1.02047
"HD 56303",0.1578,0.1679,0.1618,0.00254,16,0.604,-4.968,4.98,1,0,"HD 56303  ",109.15178,1.87877
"HD 51219",0.1508,0.1582,0.1534,0.00292,12,0.667,-5.044,6.53,1,0,"HD 51219  ",104.14244,1.16208
"HD 45067",0.1492,0.1617,0.1552,0.00235,24,0.555,-4.996,5.5,1,0,"HD 45067  ",96.31894,-0.94588
"HD 44420",0.1452,0.1552,0.1495,0.00285,16,0.671,-5.072,7.19,1,0,"HD 44420  ",95.4314,-0.53913
"HIP30112",1.101,1.556,1.4655,0.09436,26,1.224,-4.487,0.81,1,0,"HIP30112  ",95.05502,2.25891
"HD 46375",0.187,0.2228,0.1973,0.01001,27,0.825,-4.903,3.93,1,0,"HD 46375  ",98.30259,5.46292
"GL273",0.6088,1.106,0.744,0.08256,68,1.421,-5.089,7.61,1,1,"GL273     ",111.85208,5.22579
"HD 52456",0.294,0.344,0.3145,0.01565,12,0.825,-4.629,1.47,1,0,"HD 52456  ",105.39818,6.92684
"HD 28185",0.1532,0.1627,0.1571,0.00196,37,0.698,-5.029,6.19,1,0,"HD 28185  ",66.60968,-10.55082
"HIP21556",0.7402,0.892,0.8087,0.0442,33,1.322,-4.904,3.94,1,0,"HIP21556  ",69.42444,-11.03888
"HD 26965",0.1668,0.2363,0.1946,0.01376,590,0.762,-4.878,3.57,1,1,"HD 26965  ",63.818,-7.65287
"HD 35627",0.1429,0.1467,0.144,9.7E-4,19,0.551,-5.083,7.46,1,0,"HD 35627  ",81.47171,-6.36268
"HD 36395",1.486,2.143,1.813,0.19378,47,1.283,-4.49,0.83,2,1,"HD 36395  ",82.86415,-3.67723
"HD 36003",0.2802,0.452,0.3717,0.0474,162,1.122,-4.921,4.2,1,1,"HD 36003  ",82.10873,-3.49956
"HD 32147",0.2252,0.3376,0.2598,0.0231,625,0.993,-4.905,3.95,1,1,"HD 32147  ",75.20416,-5.75367
"HD 38529",0.1531,0.1778,0.1613,0.00695,100,0.722,-5.01,5.8,1,1,"HD 38529  ",86.64547,1.1682
"HD 34745",0.146,0.1492,0.1472,6.6E-4,21,0.534,-5.051,6.7,1,0,"HD 34745  ",79.95433,2.51361
"HD 33636",0.1664,0.1847,0.175,0.00326,54,0.563,-4.875,3.54,1,0,"HD 33636  ",77.94354,4.40354
"HD 31412",0.1768,0.1978,0.1848,0.00529,24,0.552,-4.822,2.9,1,0,"HD 31412  ",73.98288,4.67043
"HD 34445",0.1564,0.1719,0.1636,0.00321,207,0.624,-4.965,4.92,1,1,"HD 34445  ",79.42075,7.35335
"HD 24727",0.1586,0.164,0.1608,0.00151,22,0.491,-4.941,4.51,1,0,"HD 24727  ",58.95559,-4.52683
"HD 22879",0.1567,0.1613,0.1599,0.001,65,0.481,-4.946,4.6,1,0,"HD 22879  ",55.09194,-3.21698
"HD 24916",0.7301,0.9934,0.8461,0.05629,22,1.113,-4.546,1.08,1,0,"HD 24916  ",59.36958,-1.15946
"HD 25682",0.1642,0.1676,0.1656,0.00112,13,0.724,-4.988,5.36,1,0,"HD 25682  ",61.12782,0.24557
"HD 26794",0.1895,0.217,0.2012,0.00762,13,0.909,-4.951,4.68,1,0,"HD 26794  ",63.62625,3.02205
"HD 20619",0.1816,0.2118,0.1955,0.00682,90,0.614,-4.8,2.68,1,1,"HD 20619  ",49.75789,-2.84319
"HD 22282",0.1621,0.1775,0.1711,0.00516,11,0.74,-4.966,4.95,1,0,"HD 22282  ",53.80376,-0.7389
"HD 28946",0.1937,0.2573,0.2173,0.01598,50,0.741,-4.788,2.57,1,1,"HD 28946  ",68.46,5.38503
"HIP22627",0.9304,1.528,1.156,0.1173,62,1.423,-4.901,3.89,1,0,"HIP22627  ",73.02388,6.47655
"HD 33021",0.1438,0.148,0.1456,0.00115,16,0.619,-5.089,7.62,1,0,"HD 33021  ",76.90964,9.47178
"HD 31253",0.1486,0.1545,0.1512,0.00151,54,0.574,-5.031,6.24,1,1,"HD 31253  ",73.68189,12.35219
"HD 29528",0.1596,0.1664,0.1622,0.00246,9,0.732,-5.009,5.76,1,0,"HD 29528  ",69.9021,13.1231
"HD 29461",0.2857,0.3264,0.3149,0.01074,17,0.634,-4.477,0.77,1,0,"HD 29461  ",69.73884,14.10557
"HD 39715",0.353,0.4317,0.3782,0.02419,20,0.98,-4.71,1.95,1,0,"HD 39715  ",88.61907,2.14223
"HD 42618",0.1518,0.1703,0.1589,0.00311,670,0.626,-4.995,5.49,1,1,"HD 42618  ",93.00236,6.78307
"HD 47157",0.1597,0.1834,0.1608,0.00535,38,0.702,-5.008,5.74,1,0,"HD 47157  ",99.38248,9.14428
"HD 44985",0.1482,0.1515,0.1495,8.7E-4,18,0.566,-5.042,6.48,1,0,"HD 44985  ",96.33435,11.23325
"HD 245409",3.58,4.757,3.8825,0.317,16,1.363,-4.285,0.03,1,0,"HD 245409 ",84.12913,11.32787
"HD 36308",0.4787,0.5418,0.5074,0.02174,8,0.744,-4.298,0.05,1,0,"HD 36308  ",82.84811,12.55609
"HD 41593",0.3984,0.4801,0.4313,0.0197,51,0.785,-4.422,0.5,1,0,"HD 41593  ",91.66866,15.54211
"HD 39881",0.1494,0.1524,0.1512,5.7E-4,43,0.627,-5.049,6.63,1,0,"HD 39881  ",89.0143,13.92491
"GL239",0.7613,1.107,0.9223,0.09154,92,1.276,-4.774,2.44,1,1,"GL239     ",99.29499,17.56481
"HD 58781",0.1677,0.1718,0.1688,0.00126,11,0.69,-4.96,4.83,1,0,"HD 58781  ",111.96159,19.04479
"HD 43947",0.156,0.1602,0.1576,7.5E-4,49,0.538,-4.974,5.08,1,1,"HD 43947  ",94.91739,16.01325
"HD 51419",0.1768,0.1948,0.1858,0.00265,248,0.582,-4.829,2.98,1,1,"HD 51419  ",104.54896,22.47588
"HD 50554",0.154,0.1675,0.1613,0.00278,33,0.564,-4.957,4.79,1,0,"HD 50554  ",103.67844,24.24556
"HD 50692",0.1524,0.1587,0.1556,0.00121,128,0.582,-5.002,5.63,1,0,"HD 50692  ",103.82778,25.3757
"HD 47752",0.4298,0.5177,0.4693,0.02528,34,1.006,-4.645,1.56,1,0,"HD 47752  ",100.31546,23.95772
"HD 31966",0.1484,0.1513,0.1501,9.4E-4,16,0.657,-5.065,7.02,1,0,"HD 31966  ",75.14081,14.38381
"HD 37124",0.1732,0.1917,0.1816,0.00455,81,0.602,-4.857,3.32,1,0,"HD 37124  ",84.26036,20.73079
"HD 32923",0.144,0.1525,0.1511,0.00109,151,0.631,-5.05,6.67,1,0,"HD 32923  ",76.86252,18.64505
"HIP24284",0.5609,0.7879,0.6528,0.05232,42,1.337,-5.02,6.01,1,0,"HIP24284  ",78.17594,19.66565
"HD 285968",1.155,1.802,1.503,0.12026,105,1.33,-4.646,1.56,1,0,"HD 285968 ",70.7324,18.95817
"HD 32963",0.1406,0.1537,0.1517,0.00124,213,0.65,-5.052,6.7,1,0,"HD 32963  ",76.98235,26.32797
"HD 38230",0.1567,0.1677,0.1602,0.00257,91,0.789,-5.035,6.32,1,1,"HD 38230  ",86.50786,37.28465
"HD 105113",0.1534,0.1606,0.1577,0.00247,12,0.59,-4.99,5.4,1,0,"HD 105113 ",181.52165,-32.96123
"HD 100623",0.1751,0.2165,0.1913,0.0093,82,0.763,-4.89,3.74,1,1,"HD 100623 ",173.62286,-32.83134
"GL433",0.7087,0.8905,0.81,0.05686,34,1.322,-4.903,3.92,1,0,"GL433     ",173.86228,-32.53997
"HD 103932",0.3281,0.5569,0.4455,0.05573,97,1.154,-4.892,3.77,1,1,"HD 103932 ",179.48419,-27.70705
"HD 101259",0.1392,0.1467,0.1443,0.00227,13,0.739,-5.118,8.37,1,0,"HD 101259 ",174.75184,-24.72109
"HD 104067",0.2938,0.3823,0.3422,0.02257,57,0.92,-4.683,1.78,1,0,"HD 104067 ",179.7917,-20.35378
"HD 114946",0.1561,0.1632,0.1618,0.00187,16,0.831,-5.041,6.45,1,0,"HD 114946 ",198.5454,-19.93095
"HD 115617",0.1593,0.1822,0.1698,0.00191,609,0.68,-4.951,4.68,1,0,"HD 115617 ",199.60131,-18.31119
"HIP59406B",0.5081,0.7936,0.5825,0.09711,8,1.38,-5.135,8.83,0,0,"GJ 3709   ",182.8206,-19.9727
"HIP60559",0.3389,0.5391,0.3857,0.06074,10,1.361,-5.286,13.7,1,0,"HIP60559  ",186.21876,-18.24229
"HD 111031",0.1467,0.1512,0.1484,8.3E-4,78,0.671,-5.08,7.37,1,1,"HD 111031 ",191.62851,-11.81244
"HD 97343",0.155,0.1625,0.1578,0.00149,89,0.72,-5.03,6.22,1,0,"HD 97343  ",168.00496,-26.13667
"HIP54532",0.5516,0.8862,0.7641,0.0784,21,1.33,-4.94,4.5,1,0,"HIP54532  ",167.3806,-24.59864
"HD 104304",0.1502,0.1695,0.1592,0.00341,68,0.735,-5.026,6.13,1,1,"HD 104304 ",180.18525,-10.44613
"HD 106116",0.152,0.1577,0.1534,0.00204,11,0.678,-5.047,6.6,1,0,"HD 106116 ",183.12018,-3.08447
"HD 115589",0.1604,0.1623,0.1616,7.2E-4,5,0.814,-5.036,6.34,1,0,"HD 115589 ",199.5564,-14.5821
"HD 125184",0.1437,0.1547,0.1483,0.00352,18,0.684,-5.083,7.47,2,0,"HD 125184 ",214.50303,-7.54239
"HD 126614",0.1397,0.1494,0.1448,0.00221,81,0.797,-5.119,8.38,1,1,"HD 126614 ",216.70116,-5.17778
"HD 125455",0.1681,0.2068,0.1805,0.00951,55,0.81,-4.955,4.74,1,1,"HD 125455 ",214.89526,-5.15119
"HD 124292",0.1522,0.1602,0.1574,0.00137,56,0.701,-5.028,6.16,1,0,"HD 124292 ",213.18849,-3.32008
"HD 130322",0.2167,0.2898,0.2349,0.02156,22,0.748,-4.741,2.17,1,0,"HD 130322 ",221.88636,-0.28147
"HD 126053",0.1597,0.1671,0.1642,0.00154,98,0.596,-4.95,4.67,1,1,"HD 126053 ",215.81369,1.24157
"HD 122303",1.068,1.544,1.235,0.09606,67,1.296,-4.678,1.75,1,0,"HD 122303 ",210.26328,-2.65487
"HD 110537",0.1534,0.155,0.1541,4.2E-4,14,0.658,-5.037,6.37,1,0,"HD 110537 ",190.74719,-4.04933
"HD 114783",0.172,0.2224,0.1885,0.01051,109,0.856,-4.951,4.69,1,1,"HD 114783 ",198.18244,-2.26504
"HD 111631",1.415,1.895,1.685,0.08735,41,1.397,-4.699,1.88,1,0,"HD 111631 ",192.68153,-0.76813
"HD 107148",0.1525,0.1665,0.1562,0.00311,98,0.67,-5.027,6.15,1,1,"HD 107148 ",184.80621,-3.31979
"HD 111515",0.1679,0.1712,0.1695,8.4E-4,21,0.626,-4.931,4.35,1,0,"HD 111515 ",192.43679,1.18804
"HD 111484A",0.2158,0.2294,0.2281,0.00555,8,0.52,-4.641,1.54,1,0,"HD 111484A",192.39509,3.81821
"HD 111484B",0.1872,0.2103,0.1916,0.00664,9,0.529,-4.783,2.52,1,0,"HD 111484B",192.39583,3.8206
"HD 116443",0.1644,0.1922,0.1731,0.00546,107,0.787,-4.975,5.1,1,1,"HD 116443 ",200.92019,2.72527
"HD 116442",0.1597,0.1744,0.1638,0.00281,66,0.73,-5.0,5.59,1,1,"HD 116442 ",200.91314,2.72333
"HD 117936",0.4851,0.6203,0.5466,0.03672,23,0.987,-4.548,1.09,1,0,"HD 117936 ",203.385,8.58676
"HD 120066",0.1587,0.1646,0.1625,0.0012,65,0.617,-4.969,5.0,1,0,"HD 120066 ",206.73801,6.35037
"HD 114174",0.1858,0.1882,0.1867,6.7E-4,15,0.652,-4.856,3.3,1,0,"HD 114174 ",197.2126,5.20724
"GL486",0.5735,0.7098,0.655,0.03598,11,1.445,-5.178,10.09,1,0,"GL486     ",191.98594,9.7514
"HIP63510",8.157,10.44,9.218,0.37614,47,1.288,-3.792,0.0,1,0,"HIP63510  ",195.19399,12.37574
"GL514",0.9849,1.433,1.156,0.109,77,1.286,-4.692,1.83,1,0,"GL514     ",202.49911,10.37716
"HD 117176",0.1381,0.1449,0.1435,0.00113,94,0.704,-5.121,8.45,1,0,"HD 117176 ",202.10754,13.77879
"HD 119850",0.5741,0.8881,0.764,0.07592,45,1.287,-4.872,3.5,1,0,"HD 119850 ",206.4324,14.89152
"HD 90722",0.1511,0.1574,0.1537,0.00179,12,0.698,-5.05,6.66,1,0,"HD 90722  ",157.05803,-16.28916
"HD 92719",0.1781,0.2018,0.1879,0.00593,81,0.607,-4.83,2.99,1,0,"HD 92719  ",160.5555,-13.78771
"HD BD-103166",0.1957,0.2559,0.2355,0.01783,11,0.8,-4.775,2.45,1,0,"BD-103166 ",164.61993,-10.77039
"HD 87424",0.5194,0.6073,0.5557,0.02251,18,0.865,-4.381,0.31,1,0,"HD 87424  ",151.15691,-11.7297
"HIP51007",1.192,1.763,1.607,0.1296,21,1.293,-4.559,1.14,1,0,"HIP51007  ",156.29515,-10.22869
"HD 87359",0.1876,0.2149,0.2011,0.00691,56,0.661,-4.8,2.69,1,1,"HD 87359  ",151.11162,-7.2184
"HD 90711",0.1613,0.1838,0.1765,0.00551,27,0.767,-4.952,4.7,1,0,"HD 90711  ",157.05062,-6.60058
"HD 98281",0.1638,0.1872,0.1787,0.00539,89,0.697,-4.913,4.07,1,1,"HD 98281  ",169.59171,-5.0673
"HIP57548",0.7582,2.209,1.086,0.31914,17,1.49,-5.018,5.95,1,0,"HIP57548  ",176.93499,0.80456
"HD 99109",0.1483,0.1691,0.1559,0.00631,30,0.823,-5.065,7.01,1,0,"HD 99109  ",171.07233,-1.52907
"HD 92788",0.1576,0.1687,0.1601,0.00318,35,0.682,-5.006,5.71,2,0,"HD 92788  ",160.7022,-2.18376
"HD 99492",0.2014,0.3211,0.248,0.02571,159,0.953,-4.882,3.62,1,1,"HD 99492  ",171.69283,3.00632
"HD 99491",0.1691,0.2377,0.1976,0.01367,195,0.765,-4.868,3.45,1,1,"HD 99491  ",171.68884,3.0131
"GL382",1.609,2.451,1.877,0.14002,82,1.318,-4.532,1.02,1,0,"GL382     ",153.07362,-3.74566
"HD 88072",0.1535,0.1695,0.1606,0.00418,18,0.637,-4.988,5.35,1,0,"HD 88072  ",152.34762,2.37108
"HD 88725",0.1683,0.1719,0.1698,9.3E-4,16,0.553,-4.902,3.9,1,0,"HD 88725  ",153.53473,3.1513
"HIP46655",0.4516,0.9645,0.5716,0.15319,10,1.411,-5.189,10.44,1,0,"HIP46655  ",142.68577,0.32266
"HD 80367",0.1575,0.1668,0.1615,0.00303,13,0.823,-5.039,6.41,1,0,"HD 80367  ",139.86797,0.89706
"GL393",0.9087,1.398,1.065,0.10008,53,1.337,-4.807,2.76,1,0,"GL393     ",157.23146,0.841
"HD 90125",0.1538,0.1589,0.1557,0.00135,22,0.926,-5.111,8.17,1,0,"HD 90125  ",156.0549,2.36802
"HIP53020",0.9913,1.581,1.193,0.14828,14,1.471,-4.952,4.7,1,0,"HIP53020  ",162.7168,6.80813
"HIP52942A",0.1562,0.1613,0.1575,0.00118,25,0.469,-4.962,4.87,1,0,"HIP52942  ",162.40475,12.92921
"HD 91204",0.1422,0.1476,0.1461,0.00138,17,0.631,-5.088,7.59,1,0,"HD 91204  ",158.02292,17.98973
"HD 104800",0.1683,0.1721,0.1711,9.7E-4,12,0.517,-4.883,3.64,1,0,"HD 104800 ",181.02318,3.34075
"HD G60-06",0.1709,0.2075,0.1968,0.01572,8,0.866,-4.931,4.36,0,0,"G60-06    ",187.00476,7.45587
"HD 106156",0.2365,0.3199,0.2615,0.03451,13,0.763,-4.683,1.78,1,0,"HD 106156 ",183.23972,10.03772
"HD 105618",0.138,0.1431,0.1415,0.00173,7,0.695,-5.136,8.86,1,0,"HD 105618 ",182.40259,11.21158
"HD 110315",0.2786,0.3769,0.3232,0.02737,65,1.088,-4.933,4.38,1,1,"HD 110315 ",190.27702,15.37667
"HD 115404A",0.4544,0.497,0.4755,0.01122,28,0.868,-4.46,0.69,1,0,"HD 115404A",199.21271,17.01718
"HD 114762",0.1209,0.1288,0.1254,0.00208,25,0.503,-5.281,13.51,1,0,"HD 114762 ",198.08225,17.51712
"HIP60633",0.3921,0.5769,0.4446,0.03289,49,1.141,-4.872,3.5,1,0,"HIP60633  ",186.39576,21.83231
"HD 111395",0.2691,0.3509,0.3038,0.02262,16,0.684,-4.533,1.02,1,0,"HD 111395 ",192.19603,24.84023
"HD 108874",0.1475,0.1544,0.152,0.00158,57,0.714,-5.064,6.99,0,0,"HD 108874 ",187.61201,22.87983
"HD 100180",0.1615,0.1794,0.1679,0.00325,63,0.564,-4.916,4.12,1,1,"HD 100180 ",172.93727,14.3645
"HD 103432",0.2372,0.2716,0.2571,0.01037,9,0.645,-4.614,1.4,1,0,"HD 103432 ",178.63362,19.41123
"HD 95650",3.244,4.434,3.932,0.28263,16,1.259,-4.116,0.0,1,0,"HD 95650  ",165.65976,21.96714
"GL408",0.7805,1.224,0.8621,0.09808,57,1.368,-4.947,4.61,1,0,"GL408     ",165.01774,22.83296
"HD 97658",0.1671,0.2163,0.1864,0.01155,556,0.777,-4.916,4.12,1,1,"HD 97658  ",168.63817,25.71039
"HIP57087",0.5343,0.7931,0.5994,0.04548,258,1.367,-5.104,7.98,1,0,"HIP57087  ",175.54622,26.70657
"HD 101501",0.2769,0.3719,0.3135,0.02552,15,0.701,-4.526,0.99,2,0,"HD 101501 ",175.26257,34.20163
"GL450",1.418,1.936,1.6565,0.12221,24,1.319,-4.587,1.27,1,0,"GL450     ",177.78057,35.27201
"HD 103095",0.191,0.2271,0.2087,0.0096,17,0.665,-4.774,2.44,2,0,"HD 103095 ",178.24486,37.71868
"HD 169830",0.1392,0.1454,0.1421,0.00133,76,0.529,-5.095,7.76,1,0,"HD 169830 ",276.95619,-29.81686
"HD 167665",0.1808,0.1841,0.1833,0.001,14,0.506,-4.816,2.84,1,0,"HD 167665 ",274.34899,-28.28895
"HIP86961",1.831,2.358,1.979,0.13177,21,1.312,-4.499,0.87,1,0,"HIP86961  ",266.55313,-32.10254
"HD 171665",0.1661,0.1764,0.1728,0.00331,9,0.658,-4.926,4.27,1,0,"HD 171665 ",279.3035,-25.67127
"HD 172051",0.1629,0.1751,0.1677,0.00292,91,0.64,-4.947,4.61,1,1,"HD 172051 ",279.7225,-21.05188
"HD 170657",0.2691,0.3585,0.3246,0.02113,22,0.836,-4.622,1.44,1,0,"HD 170657 ",277.829,-18.90881
