Name,Smin,Smax,Smed,SSD,Nobs,B-V,logRhk,Age,I10,C,SimbadName,_RA,_DE
"HD 156026",0.5803,0.6736,0.635,0.02943,15,1.104,-4.656,1.62,1,0,"HD 156026 ",259.05568,-26.54615
"HD 156365",0.1413,0.1442,0.1417,0.00142,5,0.641,-5.127,8.62,1,0,"HD 156365 ",259.52973,-24.07302
"HD 157172",0.1423,0.1683,0.1545,0.00658,13,0.737,-5.053,6.73,1,0,"HD 157172 ",260.64402,-19.61618
"HD 168746",0.1531,0.1597,0.158,0.00145,23,0.661,-5.013,5.84,1,0,"HD 168746 ",275.45743,-11.92268
"HD 168443",0.1421,0.1499,0.1483,0.00148,49,0.704,-5.087,7.55,1,0,"HD 168443 ",275.01639,-9.59573
"HIP87062",0.1666,0.1711,0.1703,0.00163,6,0.49,-4.882,3.63,1,0,"HIP87062  ",266.86655,-8.77993
"HD 163153",0.1525,0.1557,0.154,8.7E-4,12,0.724,-5.053,6.74,1,0,"HD 163153 ",268.7403,-7.73395
"HD 165222",0.8791,1.283,1.006,0.07177,131,1.305,-4.781,2.51,1,0,"HD 165222 ",271.28158,-3.03132
"HD 183870",0.4613,0.5228,0.4973,0.01925,10,0.886,-4.46,0.68,1,0,"HD 183870 ",293.02793,-11.27494
"HD 181234",0.1353,0.1545,0.1486,0.00367,20,0.804,-5.098,7.84,1,0,"HD 181234 ",290.00041,-9.3236
"HD 183658",0.1666,0.1712,0.1677,0.0012,15,0.636,-4.945,4.58,1,0,"HD 183658 ",292.71966,-6.51442
"HD 192263",0.4134,0.574,0.4983,0.04092,19,0.89,-4.464,0.7,1,0,"HD 192263 ",303.49936,-0.86688
"HD 190007",0.592,0.7307,0.6557,0.03101,13,1.111,-4.653,1.6,1,0,"HD 190007 ",300.69602,3.32618
"HD 192343",0.1521,0.1555,0.1534,9.3E-4,13,0.66,-5.042,6.49,1,0,"HD 192343 ",303.53825,6.57721
"HD 192344",0.1456,0.1489,0.1466,9.9E-4,12,0.685,-5.096,7.78,1,0,"HD 192344 ",303.54071,6.58898
"HD 171918",0.1511,0.1584,0.1554,0.00189,14,0.658,-5.028,6.18,1,0,"HD 171918 ",279.42761,-7.3367
"HD 173818",1.102,1.342,1.209,0.06549,9,1.198,-4.528,1.0,1,0,"HD 173818 ",281.86354,-3.63983
"HD 176982",0.1438,0.1456,0.1444,6.5E-4,8,0.708,-5.115,8.3,1,0,"HD 176982 ",285.68499,-0.71122
"HD 170493",0.2984,0.5301,0.4126,0.04472,60,1.026,-4.731,2.1,1,1,"HD 170493 ",277.46836,-1.8181
"HD 175541",0.1308,0.1387,0.1351,0.00114,73,0.879,-5.183,10.24,1,0,"HD 175541 ",283.92035,4.26532
"HD 185295",0.1338,0.1372,0.136,0.00118,8,0.813,-5.173,9.94,1,0,"HD 185295 ",294.56646,5.00715
"HD 180617",0.9128,1.403,1.052,0.09329,144,1.341,-4.819,2.88,1,0,"HD 180617 ",289.23024,5.1689
"HD 183263",0.1477,0.1639,0.1505,0.00331,76,0.631,-5.055,6.77,1,1,"HD 183263 ",292.10238,8.35806
"HD 188512",0.1305,0.1385,0.1354,9.8E-4,184,0.833,-5.176,10.04,1,0,"HD 188512 ",298.8283,6.40676
"HD 187897",0.2688,0.3172,0.2971,0.0144,9,0.6,-4.493,0.84,1,0,"HD 187897 ",298.03911,7.46004
"HD 188510",0.1651,0.1707,0.1686,0.00168,7,0.651,-4.946,4.6,1,0,"HD 188510 ",298.79033,10.74094
"HD 187923",0.155,0.1593,0.1585,5.9E-4,106,0.628,-4.998,5.55,1,0,"HD 187923 ",298.01433,11.62833
"HD 182572",0.1608,0.1747,0.1673,0.0025,80,0.728,-4.981,5.22,1,0,"HD 182572 ",291.2425,11.94441
"HIP80824",0.6069,1.255,0.8185,0.10067,84,1.443,-5.078,7.34,1,0,"HIP80824  ",247.57524,-12.66259
"HIP80295",0.3475,0.3906,0.3656,0.01388,8,0.954,-4.692,1.83,1,0,"HIP80295  ",245.86213,-11.59461
"HD 153458",0.2518,0.3322,0.2742,0.02672,12,0.627,-4.56,1.15,1,0,"HD 153458 ",255.00691,-7.53166
"HD 144585",0.1451,0.1556,0.1503,0.00225,23,0.659,-5.064,6.98,1,0,"HD 144585 ",241.76404,-14.0713
"HD 146233",0.1572,0.1801,0.1655,0.00674,211,0.644,-4.961,4.85,1,1,"HD 146233 ",243.90529,-8.36944
"HD 149724",0.1435,0.1591,0.1497,0.00408,16,0.712,-5.079,7.35,1,0,"HD 149724 ",249.20232,-6.2943
"HD 150433",0.1649,0.1664,0.1661,5.5E-4,7,0.587,-4.936,4.42,1,0,"HD 150433 ",250.28423,-2.85728
"HD 149661",0.2636,0.3678,0.3193,0.03118,23,0.803,-4.6,1.33,1,0,"HD 149661 ",249.08937,-2.32459
"HD 156826",0.1711,0.1747,0.1734,0.00118,11,0.817,-4.986,5.31,1,0,"HD 156826 ",259.99814,-5.91751
"HD 154363",0.3485,0.5738,0.434,0.05702,96,1.074,-4.779,2.49,1,1,"HD 154363 ",256.26414,-5.06651
"HD 157347",0.1621,0.1696,0.1662,0.0011,136,0.663,-4.964,4.91,1,0,"HD 157347 ",260.7137,-2.38818
"HD 157881",1.477,1.634,1.61,0.05396,10,1.306,-4.579,1.23,1,0,"HD 157881 ",261.43847,2.11142
"HD 152391",0.312,0.403,0.343,0.02685,25,0.725,-4.493,0.84,2,0,"HD 152391 ",253.24501,-0.02642
"HD 149806",0.1757,0.2341,0.2029,0.01326,60,0.802,-4.871,3.49,1,1,"HD 149806 ",249.28512,0.25434
"HD 138776",0.1716,0.1752,0.1742,0.00129,10,0.717,-4.943,4.54,1,0,"HD 138776 ",233.57049,-2.72407
"HD 136442",0.1242,0.1355,0.1316,0.00149,43,1.044,-5.298,14.13,1,0,"HD 136442 ",230.19592,-2.41334
"HD 136834",0.1948,0.2436,0.2183,0.0163,7,0.943,-4.937,4.45,1,0,"HD 136834 ",230.67728,1.41863
"HD 141272",0.4163,0.4765,0.4365,0.01831,33,0.765,-4.396,0.38,1,0,"HD 141272 ",237.03943,1.57174
"HD 140538A",0.174,0.224,0.1977,0.00836,213,0.666,-4.817,2.85,1,1,"HD 140538A",236.00758,2.51517
"HD 142229",0.3479,0.385,0.3645,0.0129,12,0.594,-4.366,0.24,1,0,"HD 142229 ",238.33338,4.25325
"HD 141004",0.1584,0.1702,0.1628,0.00212,388,0.592,-4.958,4.8,1,0,"HD 141004 ",236.61089,7.35307
"HD 148467",0.57,0.8348,0.6838,0.06651,56,1.178,-4.743,2.19,1,1,"HD 148467 ",246.98711,7.30544
"HD 145934",0.1117,0.1339,0.1178,0.00486,72,0.97,-5.301,14.24,1,0,"HD 145934 ",243.29118,13.23946
"HD 145958A",0.1646,0.197,0.1751,0.00654,91,0.693,-4.929,4.31,2,1,"HD 145958A",243.32687,13.5269
"HD 145958B",0.1647,0.2019,0.1773,0.00751,68,0.705,-4.923,4.23,1,1,"HD 145958B",243.32675,13.52805
"HD 165401",0.214,0.2383,0.2261,0.0066,38,0.556,-4.659,1.64,1,0,"HD 165401 ",271.40606,4.65717
"HIP89215",0.1745,0.1773,0.176,9.0E-4,7,0.662,-4.911,4.05,1,0,"HIP89215  ",273.09116,5.40122
"GL699",0.4571,1.748,0.6713,0.18299,161,1.449,-5.173,9.93,1,1,"GL699     ",269.45208,4.69336
"HD 163489",0.1102,0.1142,0.1115,8.0E-4,51,0.964,-5.332,15.38,1,0,"HD 163489 ",269.0496,4.83358
"HD 161848",0.181,0.1905,0.1872,0.00349,6,0.756,-4.903,3.92,1,0,"HD 161848 ",266.92538,4.93965
"HD 170174",0.1054,0.1082,0.1078,0.00106,6,0.899,-5.35,16.08,1,0,"HD 170174 ",276.97807,6.60009
"HD 170469",0.1481,0.1522,0.15,9.4E-4,27,0.668,-5.068,7.09,1,0,"HD 170469 ",277.29575,11.6955
"HD 164507",0.1555,0.1716,0.161,0.00409,15,0.7,-5.006,5.71,1,0,"HD 164507 ",270.23863,15.09355
"HD 174080",0.7647,0.9763,0.8291,0.05028,32,1.04,-4.438,0.58,1,0,"HD 174080 ",282.12177,10.74545
"HD 171067",0.1704,0.1889,0.1734,0.00617,11,0.654,-4.922,4.2,1,0,"HD 171067 ",278.0436,13.73656
"HD 180684",0.1479,0.1568,0.1512,0.00203,15,0.547,-5.023,6.06,1,0,"HD 180684 ",289.20243,18.97632
"HD 230999",0.1635,0.1706,0.1688,0.00213,10,0.688,-4.959,4.82,1,0,"HD 230999 ",288.80978,19.60935
"HD 230409",0.1706,0.1741,0.1724,0.00112,10,0.631,-4.917,4.13,1,0,"HD 230409 ",285.18056,19.07456
"GL745B",0.2417,0.2995,0.2693,0.0153,15,1.349,-5.424,18.95,1,0,"GL745B    ",286.80502,20.87702
"GL745A",0.2517,0.2963,0.2666,0.01121,22,1.349,-5.428,19.12,1,0,"GL745A    ",286.77319,20.88804
"HD 155712",0.1794,0.2388,0.1892,0.01602,71,0.875,-4.961,4.86,1,1,"HD 155712 ",258.15676,18.35119
"HD 159063",0.1453,0.1492,0.1483,0.00127,8,0.509,-5.036,6.36,1,0,"HD 159063 ",262.97547,16.82401
"GL686",0.5006,0.9388,0.7032,0.06833,100,1.308,-4.942,4.53,1,0,"GL686     ",264.47228,18.59171
"HD 151995",0.2466,0.3113,0.2959,0.01888,13,0.982,-4.829,2.99,1,0,"HD 151995 ",252.52202,18.90042
"HIP83043",1.463,2.01,1.606,0.11609,57,1.296,-4.564,1.17,1,0,"HIP83043  ",254.53687,25.74416
"HD 156668",0.193,0.2647,0.2331,0.01542,634,0.928,-4.889,3.72,1,1,"HD 156668 ",259.41871,29.22723
"HD 164922",0.1437,0.1586,0.1527,0.002,365,0.768,-5.069,7.12,1,0,"HD 164922 ",270.62859,26.313
"HD 164595",0.1631,0.1677,0.1649,0.00112,40,0.635,-4.961,4.85,1,0,"HD 164595 ",270.16206,29.57192
"HD 172310",0.1767,0.1872,0.1822,0.00359,9,0.665,-4.883,3.64,1,0,"HD 172310 ",279.56712,28.92542
"HD 167216",0.154,0.1578,0.1561,0.00137,9,0.494,-4.974,5.09,1,0,"HD 167216 ",273.25961,28.24663
"HD 167215",0.1832,0.1893,0.1864,0.00149,23,0.494,-4.798,2.67,1,0,"HD 167215 ",273.24751,28.25761
"HD 161797",0.1408,0.1563,0.1456,0.00344,122,0.709,-5.106,8.06,1,0,"HD 161797 ",266.61478,27.72071
"HD 166620",0.164,0.1776,0.1706,0.0019,149,0.827,-5.002,5.62,1,0,"HD 166620 ",272.4059,38.45778
"HD 33793",0.2566,0.4276,0.2909,0.04355,30,1.34,-5.376,17.06,1,0,"HD 33793  ",77.91912,-45.01843
"HD 28187",0.1613,0.1659,0.1636,0.00149,10,0.56,-4.941,4.52,1,0,"HD 28187  ",66.34903,-35.67557
"HD 31560",0.4829,0.6421,0.5781,0.04178,29,1.032,-4.587,1.27,1,0,"HD 31560  ",73.92463,-28.56391
"HD 26151",0.1767,0.2129,0.185,0.00649,172,0.788,-4.927,4.29,1,1,"HD 26151  ",61.83635,-27.42566
"HD 3074A",0.1459,0.1542,0.1496,0.00154,35,0.571,-5.043,6.5,1,0,"HD 3074A  ",8.43253,-35.00208
"HD 10002",0.1585,0.1668,0.1598,0.00205,44,0.804,-5.041,6.45,1,0,"HD 10002  ",24.28595,-29.39326
"HD 11020",0.1646,0.1703,0.1653,0.00192,9,0.75,-4.998,5.55,1,0,"HD 11020  ",26.90992,-26.75002
"HD 9540A",0.2552,0.3071,0.271,0.01594,25,0.722,-4.631,1.48,2,0,"HD 9540   ",23.31587,-24.17796
"HD 8038",0.1948,0.2465,0.2127,0.0175,10,0.686,-4.771,2.42,1,0,"HD 8038   ",19.8711,-24.95121
"HD 16623",0.162,0.1651,0.1639,9.6E-4,9,0.546,-4.934,4.41,1,0,"HD 16623  ",39.7903,-26.31872
"HD 18445",0.3407,0.3999,0.374,0.0173,18,0.921,-4.641,1.54,1,0,"HD 18445  ",44.30495,-24.97512
"HD 24892",0.1494,0.155,0.1513,0.00145,11,0.739,-5.073,7.2,1,0,"HD 24892  ",59.11945,-25.18134
"HIP19165",0.5796,0.8281,0.6485,0.06355,53,1.163,-4.743,2.19,1,1,"HIP19165  ",61.64517,-20.85312
"HD 23356",0.2478,0.3177,0.2893,0.0134,87,0.886,-4.732,2.11,1,0,"HD 23356  ",55.9806,-19.1109
"HD 14412",0.1794,0.2168,0.1905,0.00767,364,0.689,-4.857,3.31,1,1,"HD 14412  ",34.74377,-25.94569
"HD 19467",0.1612,0.1647,0.163,7.3E-4,38,0.625,-4.969,5.0,1,0,"HD 19467  ",46.8274,-13.76178
"HD 23249",0.1328,0.1379,0.1361,0.00117,75,0.882,-5.178,10.1,1,0,"HD 23249  ",55.81209,-9.76339
"HD 22049",0.397,0.5353,0.4593,0.02867,198,0.867,-4.477,0.77,2,0,"HD 22049  ",53.23269,-9.45826
"HD 21019A",0.1493,0.1534,0.1518,0.00124,23,0.697,-5.062,6.95,0,0,"HD 21019A ",50.82375,-7.7941
"HD 21197",0.5784,0.7219,0.6553,0.04179,21,1.134,-4.691,1.83,1,0,"HD 21197  ",51.24888,-5.36375
"HD 19034",0.1748,0.1911,0.1799,0.00504,9,0.603,-4.867,3.43,1,0,"HD 19034  ",45.91233,-5.6663
"HD 83443",0.1967,0.24,0.219,0.01281,12,0.785,-4.81,2.79,1,0,"HD 83443  ",144.29928,-43.2722
"HD 88218",0.1424,0.1454,0.1446,0.00117,6,0.604,-5.094,7.72,1,0,"HD 88218  ",152.38237,-35.85678
"HD 93745",0.1455,0.1512,0.1484,0.00213,12,0.586,-5.057,6.83,1,0,"HD 93745  ",162.25216,-31.05915
"HD 96700",0.1793,0.1841,0.1821,0.00142,17,0.589,-4.849,3.22,1,0,"HD 96700  ",166.97678,-30.17457
"HD 90156",0.1571,0.1675,0.1629,0.00157,160,0.639,-4.975,5.1,1,0,"HD 90156  ",155.98031,-29.64553
"HD 89391",0.1449,0.1505,0.1464,0.00131,20,0.917,-5.143,9.08,1,0,"HD 89391  ",154.60462,-26.50035
"HD 68978",0.1657,0.1782,0.1718,0.00432,14,0.582,-4.901,3.89,1,0,"HD 68978  ",123.39374,-31.73538
"HD 50499",0.1441,0.1556,0.149,0.00216,70,0.608,-5.059,6.87,1,1,"HD 50499  ",103.00843,-33.91556
"HD 67458",0.1661,0.1775,0.1718,0.00308,14,0.581,-4.901,3.89,1,0,"HD 67458  ",121.75218,-29.40294
"HD 50806",0.1388,0.1446,0.1424,0.00151,18,0.683,-5.128,8.64,1,0,"HD 50806  ",103.39143,-28.53979
"HD 72673",0.1647,0.1874,0.1719,0.00686,113,0.73,-4.959,4.81,1,1,"HD 72673  ",128.21457,-31.50085
"HD 71334",0.1543,0.1614,0.1592,0.00216,9,0.64,-4.998,5.55,1,0,"HD 71334  ",126.45631,-29.93059
"HD 84117",0.1452,0.1536,0.151,0.00132,168,0.514,-5.016,5.91,1,0,"HD 84117  ",145.56007,-23.91557
"GL357",0.4207,0.6435,0.4869,0.05928,43,1.369,-5.196,10.67,1,0,"GL357     ",144.00682,-21.6608
"HD 82943",0.1552,0.1767,0.1681,0.00402,153,0.612,-4.934,4.39,1,1,"HD 82943  ",143.7114,-12.12955
"GL317",0.9106,1.275,1.093,0.08653,46,1.397,-4.887,3.7,1,0,"GL317     ",130.24669,-23.45628
"HD 63754",0.1307,0.1406,0.1393,0.00236,15,0.572,-5.133,8.77,1,0,"HD 63754  ",117.4386,-20.20763
"HIP37217",0.5187,0.8049,0.6188,0.08985,15,1.402,-5.141,8.99,1,0,"HIP37217  ",114.67067,-21.22458
"HD 69830",0.1589,0.1837,0.171,0.00422,524,0.731,-4.963,4.9,1,1,"HD 69830  ",124.59978,-12.63217
"HD G161-29",0.2101,0.2431,0.2384,0.011,9,0.926,-4.874,3.53,0,0,"G161-29   ",141.42674,-6.77207
"HD 136352",0.1659,0.1772,0.1704,0.0018,47,0.597,-4.914,4.09,1,0,"HD 136352 ",230.45062,-48.31763
"GL667C",0.4446,0.7951,0.5689,0.06967,35,1.352,-5.102,7.95,1,0,"GL667C    ",259.74511,-34.99684
"HD 157338",0.1638,0.1703,0.1689,0.00135,22,0.563,-4.91,4.02,1,0,"HD 157338 ",261.03641,-34.79846
"HD 144988",0.1689,0.173,0.1717,0.00148,7,0.578,-4.9,3.88,1,0,"HD 144988 ",242.50234,-35.64256
"HD 154088",0.1397,0.1706,0.155,0.00625,399,0.789,-5.061,6.92,1,1,"HD 154088 ",256.11601,-28.58268
"HD 150437",0.1402,0.1551,0.1442,0.00422,12,0.673,-5.112,8.21,1,0,"HD 150437 ",250.53045,-29.12499
"HD 150698",0.1301,0.1333,0.1325,0.00127,8,0.625,-5.213,11.2,1,0,"HD 150698 ",250.96431,-26.80894
"HD 146775",0.1717,0.1743,0.1722,9.4E-4,7,0.6,-4.906,3.96,1,0,"HD 146775 ",244.78514,-28.29389
"HD 114613",0.1431,0.1577,0.1482,0.00252,120,0.687,-5.085,7.5,1,0,"HD 114613 ",198.01327,-37.80302
"HD 117207",0.155,0.1591,0.1578,0.0013,14,0.694,-5.023,6.06,1,0,"HD 117207 ",202.33797,-35.571
"HD 114729",0.1479,0.1537,0.1505,0.0017,14,0.592,-5.043,6.5,1,0,"HD 114729 ",198.18441,-31.87335
"HD 116321",0.1499,0.1669,0.1527,0.00439,29,0.505,-5.001,5.61,1,0,"HD 116321 ",200.79112,-24.73414
"HD 138549",0.1695,0.1986,0.1735,0.01034,7,0.686,-4.934,4.4,1,0,"HD 138549 ",233.47316,-31.01905
"HD 131117",0.1385,0.1432,0.1418,0.00182,9,0.587,-5.114,8.24,1,0,"HD 131117 ",223.13792,-30.57726
"HD 129010",0.1413,0.1462,0.1442,0.0014,10,0.559,-5.084,7.49,1,0,"HD 129010 ",220.23264,-26.42871
"HD 134987",0.1458,0.1501,0.1487,0.00107,60,0.683,-5.08,7.39,1,0,"HD 134987 ",228.36945,-25.30935
"HD 130992",0.2982,0.3712,0.3227,0.01468,73,0.962,-4.762,2.34,1,1,"HD 130992 ",222.9186,-24.30413
"HD 145809",0.1449,0.1484,0.1471,9.0E-4,10,0.607,-5.074,7.23,1,0,"HD 145809 ",243.4181,-21.39996
"HD 120467",0.5461,0.7544,0.6515,0.05092,50,1.208,-4.814,2.82,1,0,"HD 120467 ",207.43669,-22.11109
"HIP67164",0.522,0.7219,0.5941,0.06797,11,1.422,-5.188,10.41,1,0,"HIP67164  ",206.46131,-17.96823
"HD 124106",0.3691,0.4735,0.3851,0.02798,15,0.836,-4.532,1.02,1,0,"HD 124106 ",212.94239,-12.61177
"HD 134440",0.159,0.2116,0.1787,0.01597,8,0.81,-4.962,4.87,1,0,"HD 134440 ",227.55403,-16.46292
"HD 134439",0.1498,0.1826,0.1625,0.01213,8,0.733,-5.007,5.74,1,0,"HD 134439 ",227.55453,-16.37941
"HD 136713",0.2466,0.3794,0.3104,0.02683,109,0.94,-4.755,2.28,1,1,"HD 136713 ",230.6529,-10.66113
"HD 137778",0.4786,0.5648,0.5285,0.02685,31,0.88,-4.424,0.51,1,0,"HD 137778 ",232.05088,-9.35786
"HIP74995",0.4076,0.7224,0.5312,0.05568,404,1.398,-5.202,10.85,1,1,"HIP74995  ",229.86178,-7.72227
"HIP70975",0.4814,0.8333,0.5233,0.0818,17,1.427,-5.249,12.42,1,0,"HIP70975  ",217.75484,-12.2961
"HIP71253",0.7983,1.057,0.9394,0.06387,26,1.486,-5.076,7.27,1,0,"HIP71253  ",218.57005,-12.51956
"HD 217987",0.8763,1.439,1.2215,0.10682,78,1.304,-4.695,1.85,1,0,"HD 217987 ",346.46682,-35.85307
"HD 213628",0.1611,0.1651,0.162,0.00134,8,0.693,-4.998,5.55,1,0,"HD 213628 ",338.37785,-35.44455
"HD 212801",0.192,0.2376,0.2189,0.01643,8,0.78,-4.808,2.77,1,0,"HD 212801 ",336.87974,-31.55421
"HD 214749",1.102,1.249,1.184,0.04647,14,1.122,-4.412,0.45,1,0,"HD 214749 ",340.18077,-29.67448
"HD 217004",0.1417,0.1434,0.1426,5.2E-4,7,0.64,-5.119,8.4,1,0,"HD 217004 ",344.45082,-26.10824
"HD 210302",0.1554,0.1631,0.1582,0.00207,66,0.479,-4.958,4.79,1,1,"HD 210302 ",332.53658,-32.54841
"HD 213042",0.3057,0.4663,0.3713,0.04997,77,1.028,-4.783,2.53,1,1,"HD 213042 ",337.31348,-30.01841
"HD 191408",0.1779,0.2043,0.1832,0.0055,135,0.87,-4.978,5.16,1,1,"HD 191408 ",302.79974,-36.10121
"HD 172513",0.211,0.2424,0.2243,0.01542,4,0.695,-4.739,2.16,1,0,"HD 172513 ",280.50982,-34.46633
"HD 179949",0.2175,0.2434,0.2386,0.00666,23,0.535,-4.612,1.39,1,0,"HD 179949 ",288.88846,-24.17935
"HD 200538",0.158,0.1686,0.1637,0.00296,8,0.583,-4.949,4.65,1,0,"HD 200538 ",316.27047,-32.82617
"GL803",7.48,9.651,8.39,0.45504,63,1.287,-3.832,0.0,1,0,"GL803     ",311.28972,-31.3409
"HD 201203",0.1802,0.1879,0.183,0.002,13,0.496,-4.815,2.84,1,0,"HD 201203 ",317.1539,-21.68304
"HD 192310",0.1565,0.2262,0.1806,0.01673,452,0.825,-4.962,4.87,1,1,"HD 192310 ",303.82246,-27.03298
"HD 196761",0.1671,0.1818,0.172,0.00411,68,0.676,-4.937,4.45,1,1,"HD 196761 ",310.04898,-23.77387
"HD 193901",0.1719,0.1751,0.1731,8.4E-4,10,0.49,-4.866,3.43,1,0,"HD 193901 ",305.89936,-21.37062
"HD 189625",0.1834,0.2038,0.1953,0.00846,8,0.639,-4.812,2.81,1,0,"HD 189625 ",300.38667,-16.869
"HIP103039",1.008,1.302,1.1345,0.1531,4,1.473,-4.977,5.15,1,0,"HIP103039 ",313.13757,-16.97472
"HD 200968",0.3676,0.4498,0.4289,0.01329,32,0.828,-4.468,0.72,1,0,"HD 200968 ",316.79325,-13.92292
"HIP104432",0.2689,0.4664,0.3738,0.03982,25,1.325,-5.243,12.19,1,0,"HIP104432 ",317.32261,-13.3025
"HD 198802",0.1531,0.1714,0.157,0.00524,16,0.642,-5.013,5.85,1,0,"HD 198802 ",313.27333,-11.57365
"HD 204587",0.5781,0.7496,0.6943,0.03988,44,1.237,-4.833,3.03,1,0,"HD 204587 ",322.51148,-12.51007
"HD 195564",0.1351,0.1407,0.1394,0.00121,32,0.665,-5.151,9.28,1,0,"HD 195564 ",308.09873,-9.85338
"HD 199960",0.1538,0.1621,0.1582,0.00309,18,0.628,-5.0,5.6,1,0,"HD 199960 ",315.141,-4.73026
"S101438B",0.1585,0.1645,0.1595,0.00212,8,0.702,-5.015,5.9,0,0,"          ",,
"S11844",0.1631,0.1716,0.1653,0.00219,13,0.505,-4.915,4.1,0,0,"          ",,
"S122446",1.025,1.46,1.287,0.09108,55,1.317,-4.694,1.85,0,0,"          ",,
"S130811",0.7843,1.208,1.002,0.10009,67,1.387,-4.909,4.01,0,1,"          ",,
